xc yc W eW
-1.17 0.19 0.124138 0.0219363
-1.17 0.21 0.132653 0.0226065
-1.17 0.23 0.113553 0.0215216
-1.17 0.25 0.122977 0.0211407
-1.17 0.27 0.118644 0.0212108
-1.17 0.29 0.101818 0.0201977
-1.17 0.31 0.0818505 0.0177518
-1.17 0.33 0.0905797 0.0189186
-1.17 0.35 0.0826772 0.0187726
-1.17 0.37 0.10231 0.0192926
-1.17 0.39 0.102941 0.0204308
-1.17 0.41 0.0985401 0.0198765
-1.17 0.43 0.117188 0.0226143
-1.17 0.45 0.10728 0.0213337
-1.17 0.47 0.128205 0.0230179
-1.17 0.49 0.0967742 0.0195046
-1.17 0.51 0.12766 0.0247504
-1.17 0.53 0.144444 0.0247438
-1.17 0.55 0.0842491 0.0182922
-1.17 0.57 0.084 0.0190847
-1.17 0.59 0.10757 0.0217868
-1.17 0.61 0.0995851 0.0213159
-1.17 0.63 0.135021 0.025429
-1.17 0.65 0.104869 0.0208316
-1.17 0.67 0.0867925 0.0188665
-1.17 0.69 0.0991379 0.0216722
-1.15 -0.25 0.0996169 0.0204865
-1.15 -0.23 0.102564 0.0203525
-1.15 -0.21 0.106529 0.0201265
-1.15 -0.19 0.0966543 0.0198504
-1.15 -0.17 0.108209 0.0211531
-1.15 -0.15 0.136531 0.0239289
-1.15 -0.13 0.0881226 0.0191674
-1.15 -0.11 0.105072 0.0205109
-1.15 -0.09 0.134483 0.0229368
-1.15 -0.07 0.0915493 0.0187582
-1.15 -0.05 0.109244 0.0225644
-1.15 -0.03 0.0992908 0.0196737
-1.15 -0.01 0.12892 0.0225191
-1.15 0.01 0.103053 0.0208295
-1.15 0.03 0.134058 0.0234698
-1.15 0.05 0.176471 0.0285336
-1.15 0.07 0.113281 0.0221953
-1.15 0.09 0.150407 0.0265211
-1.15 0.11 0.115646 0.0209486
-1.15 0.13 0.116505 0.0205174
-1.15 0.15 0.100746 0.0203419
-1.15 0.17 0.117155 0.0234012
-1.15 0.19 0.129921 0.0240407
-1.15 0.21 0.0861423 0.0187196
-1.15 0.23 0.116364 0.0217343
-1.15 0.25 0.106762 0.020506
-1.15 0.27 0.0922509 0.0192824
-1.15 0.29 0.111538 0.0218367
-1.15 0.31 0.102837 0.0200542
-1.15 0.33 0.150198 0.0261311
-1.15 0.35 0.109091 0.0209755
-1.15 0.37 0.124464 0.0245084
-1.15 0.39 0.145098 0.025526
-1.15 0.41 0.153509 0.0278682
-1.15 0.43 0.131086 0.0235652
-1.15 0.45 0.115242 0.0218581
-1.15 0.47 0.117155 0.0234012
-1.15 0.49 0.175299 0.0286501
-1.15 0.51 0.12585 0.021953
-1.15 0.53 0.136719 0.0246389
-1.15 0.55 0.125899 0.0225808
-1.15 0.57 0.0970149 0.0199277
-1.15 0.59 0.0915493 0.0187582
-1.15 0.61 0.102881 0.0216087
-1.15 0.63 0.122222 0.0225389
-1.15 0.65 0.0932836 0.0195075
-1.15 0.67 0.117647 0.024392
-1.15 0.69 0.108614 0.0212363
-1.15 0.71 0.110687 0.0216618
-1.13 -0.29 0.113879 0.0212465
-1.13 -0.27 0.113475 0.0211673
-1.13 -0.25 0.175966 0.0298012
-1.13 -0.23 0.151394 0.026353
-1.13 -0.21 0.165975 0.0283372
-1.13 -0.19 0.0954198 0.0199737
-1.13 -0.17 0.141221 0.0248019
-1.13 -0.15 0.122867 0.0216994
-1.13 -0.13 0.115385 0.0212131
-1.13 -0.11 0.104167 0.0199841
-1.13 -0.09 0.0984848 0.0202432
-1.13 -0.07 0.128571 0.0227645
-1.13 -0.05 0.105634 0.0202791
-1.13 -0.03 0.124 0.0236115
-1.13 -0.01 0.0702341 0.0158554
-1.13 0.01 0.131034 0.0226064
-1.13 0.03 0.0866426 0.0184361
-1.13 0.05 0.103704 0.0205893
-1.13 0.07 0.150407 0.0265211
-1.13 0.09 0.140684 0.0247018
-1.13 0.11 0.117424 0.0222939
-1.13 0.13 0.146245 0.0257406
-1.13 0.15 0.113139 0.021439
-1.13 0.17 0.126761 0.0224258
-1.13 0.19 0.13986 0.0236097
-1.13 0.21 0.108553 0.0198958
-1.13 0.23 0.0993151 0.0193365
-1.13 0.25 0.112971 0.0229364
-1.13 0.27 0.0819113 0.0173914
-1.13 0.29 0.131206 0.0229415
-1.13 0.31 0.105469 0.021341
-1.13 0.33 0.113725 0.0222868
-1.13 0.35 0.103734 0.0217964
-1.13 0.37 0.115672 0.0219439
-1.13 0.39 0.0783582 0.0177565
-1.13 0.41 0.113793 0.0209055
-1.13 0.43 0.108108 0.0215065
-1.13 0.45 0.0950413 0.0207379
-1.13 0.47 0.135802 0.0251943
-1.13 0.49 0.111111 0.0213833
-1.13 0.51 0.121771 0.0224512
-1.13 0.53 0.188976 0.0297422
-1.13 0.55 0.129412 0.023941
-1.13 0.57 0.129771 0.0236556
-1.13 0.59 0.139442 0.0251598
-1.13 0.61 0.126087 0.024846
-1.13 0.63 0.126582 0.0245298
-1.13 0.65 0.109023 0.02132
-1.13 0.67 0.100719 0.0199697
-1.13 0.69 0.0992366 0.0204047
-1.13 0.71 0.0938776 0.020473
-1.13 0.73 0.108 0.0218782
-1.11 -0.33 0.125926 0.0229156
-1.11 -0.31 0.0962963 0.0197737
-1.11 -0.29 0.105634 0.0202791
-1.11 -0.27 0.122605 0.022964
-1.11 -0.25 0.129167 0.0246518
-1.11 -0.23 0.10728 0.0213337
-1.11 -0.21 0.149254 0.025299
-1.11 -0.19 0.125954 0.0232657
-1.11 -0.17 0.125 0.0234375
-1.11 -0.15 0.128 0.024032
-1.11 -0.13 0.0753968 0.0179374
-1.11 -0.11 0.0984252 0.0206311
-1.11 -0.09 0.105263 0.0202045
-1.11 -0.07 0.128405 0.0237441
-1.11 -0.05 0.128631 0.0245437
-1.11 -0.03 0.129771 0.0236556
-1.11 -0.01 0.110759 0.0197314
-1.11 0.01 0.103203 0.0201289
-1.11 0.03 0.104575 0.019429
-1.11 0.05 0.149091 0.0249595
-1.11 0.07 0.130909 0.0232024
-1.11 0.09 0.122378 0.0219148
-1.11 0.11 0.1 0.0209762
-1.11 0.13 0.129278 0.0235605
-1.11 0.15 0.163569 0.0265993
-1.11 0.17 0.117021 0.0215297
-1.11 0.19 0.093985 0.0196605
-1.11 0.21 0.108434 0.0219704
-1.11 0.23 0.140794 0.02408
-1.11 0.25 0.128906 0.0238422
-1.11 0.27 0.156934 0.0257417
-1.11 0.29 0.13468 0.0226835
-1.11 0.31 0.0940171 0.0209656
-1.11 0.33 0.116788 0.0218177
-1.11 0.35 0.108303 0.0208166
-1.11 0.37 0.126316 0.0223427
-1.11 0.39 0.0942029 0.0193253
-1.11 0.41 0.123552 0.0231511
-1.11 0.43 0.110266 0.0215753
-1.11 0.45 0.11985 0.0224204
-1.11 0.47 0.10757 0.0217868
-1.11 0.49 0.129921 0.0240407
-1.11 0.51 0.108434 0.0219704
-1.11 0.53 0.0930233 0.0198518
-1.11 0.55 0.117886 0.0231453
-1.11 0.57 0.122137 0.0228716
-1.11 0.59 0.090535 0.020157
-1.11 0.61 0.119835 0.0235484
-1.11 0.63 0.0958333 0.0209182
-1.11 0.65 0.180672 0.0299379
-1.11 0.67 0.0821918 0.0174532
-1.11 0.69 0.0866142 0.0192493
-1.11 0.71 0.146341 0.026114
-1.11 0.73 0.0669456 0.0172875
-1.11 0.75 0.0977444 0.0200843
-1.09 -0.35 0.100386 0.0206519
-1.09 -0.33 0.125448 0.0224953
-1.09 -0.31 0.148 0.0260694
-1.09 -0.29 0.119403 0.0223323
-1.09 -0.27 0.12963 0.0232883
-1.09 -0.25 0.128814 0.0222014
-1.09 -0.23 0.104869 0.0208316
-1.09 -0.21 0.130282 0.0227707
-1.09 -0.19 0.131579 0.0236589
-1.09 -0.17 0.125 0.0220971
-1.09 -0.15 0.142857 0.0251071
-1.09 -0.13 0.124528 0.0229877
-1.09 -0.11 0.151163 0.0259705
-1.09 -0.09 0.128906 0.0238422
